ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Robert L. Cowles	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	10	Belle Plaine	59010	2	Wards 1 - 3	707	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	18	Grant	59018	2	Wards 1 & 2	339	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	20	Green Valley	59020	2	Wards 1 & 2	321	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	22	Hartland	59022	2		320	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	24	Herman	59024	2	Wards 1 & 2	291	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	28	Lessor	59028	2	Wards 1 & 2	381	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	59	Shawano	Town	30	Maple Grove	59030	2	Wards 1 & 2	319	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	32	Morris	59032	2	Wards 1 & 2	137	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	34	Navarino	59034	2		148	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	36	Pella	59036	2		300	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	40	Richmond	59040	2	Wards 1 - 3	782	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	42	Seneca	59042	2		192	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	44	Washington	59044	2	Wards 1 & 2	723	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	46	Waukechon	59046	2	Wards 1 & 2	354	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	48	Wescott	59048	2	Wards 1 - 5	1081	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Village	107	Bonduel	59107	2	Wards 1 & 2	487	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Village	108	Bowler	59108	2		64	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Village	111	Cecil	59111	2		162	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Village	131	Gresham	59131	2		159	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	7	Wards 1 & 2	469	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	8	Wards 3 & 4	374	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	9	Wards 5 & 6	371	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	10	Wards 7 & 8	319	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	11	Wards 9 & 10	531	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	City	281	Shawano	59281	12	Wards 11 & 12	496	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	4	69	Waupaca	Town	28	Matteson	69028	2		312	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	4	69	Waupaca	Village	121	Embarrass	69121	2		119	0	
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	TOTAL	60507	393	
ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Lena C. Taylor	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	5	4	10	1	41	Milwaukee	City	231	Glendale	41231	10	Ward 1	488	12	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	5	4	10	1	41	Milwaukee	City	231	Glendale	41231	15	Wards 6 & 12	981	12	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 4	4	4	10	1	41	Milwaukee	City	251	Milwaukee	41251	1	Ward 1	945	11	
